OBJECTID;ACC_ID;ACC_ESTAT;ACC_CODI_NAT;ACC_GRAVETAT;ACC_DATA;ACC_HORA;ACC_DEMARCACIO;ACC_ZONA;ACC_CARRETERA;ACC_PK;ACC_POS_;ACC_MUNICIPI;ACC_NOM_CARRER;ACC_NUM_PORTAL;ACC_NOM_CARRER2;ACC_PK_;ACC_OFFSET_;ACC_X_;ACC_Y_;ACC_SCORE_;ACC_ADREÇA_NORMALITZADA_;ACC_CARRETERA_;ACC_PKFORMAT_;ACC_NOM_DIA_ACC;ACC_TIPUS_DIA_ACC;ACC_NUM_MORTS;ACC_NUM_MORTS_30DIES;ACC_NUM_VICTIMES_GREUS;ACC_NUM_VICTIMES_LLEUS;ACC_NUM_ILLESOS;ACC_NUM_UNITATS_IMPLI;ACC_TIPUS;ACC_TIPUS_VIA;ACC_NUM_PERS_IMPLI;ACC_ANY;ACC_DIASET;ACC_SUBZONA;ACC_TIPUS_POSICIONAMENT_;ACC_SUBTIPUS_ACCIDENT;ACC_NUM_VICTIMES;ACC_DEMARCACIO_ID;ACC_COMARCA_ID;ACC_COMARCA;ACC_SUPERFICIE;ACC_LLUMINOSITAT;ACC_BOIRA;ACC_VISIBILITAT;ACC_CIRCULACIO;ACC_CIRCULACIO_MESURES_ESP;ACC_AMB_FUGA;ACC_VENT;ACC_INFLUIT_CARACT_ENTORN;ACC_INFLUIT_FERM_CALCADA;ACC_INFLUIT_SOLCS_RASES;ACC_INFLUIT_OBJ_CALCADA;ACC_INFLUIT_LLUMINOSITAT;ACC_CLIMATOLOGIA;ACC_INFLUIT_ESTAT_CLIMA;ACC_INFLUIT_BOIRA;ACC_INFLUIT_VISIBILITAT;ACC_INFLUIT_CIRCULACIO;ACC_INFLUIT_MESU_ESP;ACC_POSICIO_VEHICLES_VIA;ACC_POSICIO_VEHICLES_CALCADA;ACC_POSICIO_VEHICLES_CARRIL;ACC_SENTIT_VEHICLES;ACC_COORD_GEO_IMPACTE;ACC_COORD_GEO_IMPACTE_X_;ACC_COORD_GEO_IMPACTE_Y_;ACC_CORRECCIO_MANUAL_DIBA_;ACC_INFORME_SIDAT;SHAPE;x;y
229;2023028331;Accidents tancats;002560/23/ARTMNORD;Accident lleu;de juliol 31, 2023;3.2;Barcelona;Carretera;BP-1432;25.7;25664;BIGUES I RIELLS;0;;99;25;715;435290;4613276;;;BP-1432;25+715;Feiners;dill-dij;0;0;0;1;0;1;Sortida de la calcada sense especificar;Carretera convencional;1;2023;1;Carretera;Per Coordenades;Resta sortides de via;1;8;41;Valles Oriental;Sec i net;De nit, sense llum artificial;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0435290.13,4613276.66;435290;4613276;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023028331"" target=""_blank"">Informe SIDAT</a>";;435290;4613276
230;2023008192;Accidents tancats;000745/23/ARTMNORD;Accident lleu;de març 5, 2023;3.11;Barcelona;Carretera;BV-5114;11.2;11135;FOGARS DE MONTCLUS;0;;99;11;204;453663;4620948;;;BV-5114;11+204;CapDeSetmana;dg;0;0;0;2;1;1;Sortida de la calcada sense especificar;Carretera convencional;3;2023;7;Carretera;Per Coordenades;Resta sortides de via;2;8;41;Valles Oriental;Sec i net;De nit, sense llum artificial;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0453663.22,4620948.54;453663;4620948;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023008192"" target=""_blank"">Informe SIDAT</a>";;453663;4620948
231;2023021626;Accidents tancats;001988/23/ARTMNORD;Accident lleu;de juny 13, 2023;14.23;Barcelona;Carretera;BV-5011;4.5;4218;BADALONA;0;;99;4;491;435313;4592464;;;BV-5011;4+491;Feiners;dill-dij;0;0;0;1;0;1;Sortida de la calcada sense especificar;Carretera convencional;1;2023;2;Carretera;Per Coordenades;Resta sortides de via;1;8;13;Barcelones;Sec i net;De dia, dia fosc;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0435313.97,4592464.63;435313;4592464;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023021626"" target=""_blank"">Informe SIDAT</a>";;435313;4592464
232;2023011840;Accidents tancats;000826/23/ARTCENTRAL;Accident lleu;de març 31, 2023;19.16;Barcelona;Carretera;BV-1341;2;1983;SANT QUIRZE SAFAJA;0;;99;1;990;429030;4619947;;;BV-1341;1+990;CapDeSetmana;div;0;0;0;1;0;1;Bolcada a la calcada;Carretera convencional;1;2023;5;Carretera;Per Coordenades;Caiguda en la via;1;8;42;Moianes;Relliscós;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0429030.17,4619947.72;429030;4619947;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023011840"" target=""_blank"">Informe SIDAT</a>";;429030;4619947
233;2023039771;Accidents tancats;003393/23/ARTMETROPO;Accident lleu;de desembre 3, 2023;22.3;Barcelona;Carretera;BP-2126;11.2;11165;FONT-RUBI;0;;99;11;207;386946;4585768;;;BP-2126;11+207;CapDeSetmana;dg;0;0;0;1;0;1;Bolcada a la calcada;Carretera convencional;1;2023;7;Carretera;Per Coordenades;Caiguda en la via;1;8;3;Alt Penedes;Sec i net;De nit, il·luminació artificial suficient;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0386946.85,4585768.99;386946;4585768;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023039771"" target=""_blank"">Informe SIDAT</a>";;386946;4585768
234;2023014779;Accidents tancats;001331/23/ARTMNORD;Accident lleu;d’abril 22, 2023;0.19;Barcelona;Carretera;BV-1243;4;4609;CALDES DE MONTBUI;0;;99;4;588;428127;4610740;;;BV-1243;4+588;CapDeSetmana;dis;0;0;0;1;0;1;Sortida de la calcada sense especificar;Carretera convencional;1;2023;6;Carretera;Per Coordenades;Resta sortides de via;1;8;41;Valles Oriental;Sec i net;De nit, sense llum artificial;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0428127.10,4610740.71;428127;4610740;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023014779"" target=""_blank"">Informe SIDAT</a>";;428127;4610740
235;2023035226;Accidents tancats;002932/23/ARTMETROPO;Accident lleu;d’octubre 24, 2023;19.58;Barcelona;Carretera;BV-1202;8.5;8466;ABRERA;0;;99;8;492;411176;4596363;;;BV-1202;8+492;Feiners;dill-dij;0;0;0;1;0;1;Sortida de la calcada sense especificar;Carretera convencional;1;2023;2;Carretera;Per Coordenades;Resta sortides de via;1;8;11;Baix Llobregat;Sec i net;De nit, sense llum artificial;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0411176.97,4596363.82;411176;4596363;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023035226"" target=""_blank"">Informe SIDAT</a>";;411176;4596363
236;2023024030;Accidents tancats;001949/23/ARTCENTRAL;Accident lleu;de juliol 12, 2023;18.4;Barcelona;Carretera;BV-4406;0.6;632;PUIG-REIG;0;;99;0;598;407493;4647920;;;BV-4406;0+598;Feiners;dill-dij;0;0;0;2;0;2;Bolcada a la calcada;Carretera convencional;2;2023;3;Carretera;Per Coordenades;Caiguda en la via;2;8;14;Bergueda;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0407493.35,4647920.93;407493;4647920;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023024030"" target=""_blank"">Informe SIDAT</a>";;407493;4647920
237;2023030668;Accidents tancats;002561/23/ARTMETROPO;Accident lleu;de setembre 15, 2023;13.41;Barcelona;Carretera;C-243B;14.5;14425;SUBIRATS;0;;99;14;487;402229;4586439;;;C-243b;14+487;Feiners;div;0;0;0;1;0;1;Sortida de la calcada sense especificar;Carretera convencional;1;2023;5;Carretera;Per Coordenades;Resta sortides de via;1;8;3;Alt Penedes;Mullat;De dia, dia fosc;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Pluja dèbil;No;No;No;No;No;NA;NA;NA;NA;0402229.88,4586439.87;402229;4586439;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023030668"" target=""_blank"">Informe SIDAT</a>";;402229;4586439
238;2023022204;Accidents tancats;001729/23/ARTMETROPO;Accident lleu;de juny 21, 2023;7.34;Barcelona;Carretera;B-211;9.5;9435;SANT PERE DE RIBES;0;;99;9;419;398505;4566889;;;B-211;9+419;Feiners;dill-dij;0;0;0;1;0;1;Sortida de la calcada sense especificar;Carretera convencional;1;2023;3;Carretera;Per Coordenades;Resta sortides de via;1;8;17;Garraf;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0398505.72,4566889.87;398505;4566889;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023022204"" target=""_blank"">Informe SIDAT</a>";;398505;4566889
239;2023032496;Accidents tancats;003257/23/ARTMNORD;Accident lleu;d’octubre 3, 2023;13.04;Barcelona;Carretera;BV-5001;7.2;7193;MONTCADA I REIXAC;0;;99;7;189;432567;4592559;;;BV-5001;7+189;Feiners;dill-dij;0;0;0;1;1;2;Col.lisió de vehicles en marxa;Carretera convencional;2;2023;2;Carretera;Per Coordenades;Encalç;1;8;40;Valles Occidental;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0432567.97,4592559.65;432567;4592559;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023032496"" target=""_blank"">Informe SIDAT</a>";;432567;4592559
240;2023019887;Accidents tancats;001503/23/ARTCENTRAL;Accident lleu;de maig 31, 2023;20.18;Barcelona;Carretera;BV-1229;3.3;3260;SANT VICENC DE CASTELLERS;0;;99;3;313;405948;4615623;;;BV-1229;3+313;Feiners;dill-dij;0;0;0;1;2;2;Col.lisió de vehicles en marxa;Carretera convencional;3;2023;3;Carretera;Per Coordenades;Envestida (frontal lateral);1;8;7;Bages;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0405948.10,4615623.89;405948;4615623;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023019887"" target=""_blank"">Informe SIDAT</a>";;405948;4615623
241;2023024022;Accidents tancats;001944/23/ARTCENTRAL;Accident lleu;de juliol 12, 2023;13.47;Barcelona;Zona urbana;BV-3001;5;5000;CARDONA;0;;99;5;0;387162;4639399;;;BV-3001;5+0;Feiners;dill-dij;0;0;0;1;1;2;Col.lisió de vehicles en marxa;Carretera convencional;2;2023;3;Travessera;Per Coordenades;Encalç;1;8;7;Bages;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0387162.25,4639399.07;387162;4639399;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023024022"" target=""_blank"">Informe SIDAT</a>";;387162;4639399
242;2023036146;Accidents tancats;003065/23/ARTCENTRAL;Accident lleu;de novembre 1, 2023;12.38;Barcelona;Carretera;N-141D;4.6;4661;FOLGUEROLES;0;;99;4;568;442774;4642865;;;N-141d;4+568;Feiners;dill-dij;0;0;0;1;1;2;Col.lisió de vehicles en marxa;Carretera convencional;2;2023;3;Carretera;Per Coordenades;Envestida (frontal lateral);1;8;24;Osona;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0442774.37,4642865.65;442774;4642865;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023036146"" target=""_blank"">Informe SIDAT</a>";;442774;4642865
243;2023035569;Accidents tancats;002990/23/ARTMETROPO;Accident lleu;d’octubre 29, 2023;1.04;Barcelona;Carretera;C-246a;39.8;39802;SITGES;0;;99;39;805;397096;4565887;;;C-246a;39+805;CapDeSetmana;dg;0;0;0;1;0;1;Col.lisió d'un vehicle contra un obstacle de la calcada;Carretera convencional;1;2023;7;Carretera;Per Coordenades;Xoc amb animal a la calçada;1;8;17;Garraf;Sec i net;De nit, sense llum artificial;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0397096.71,4565887.88;397096;4565887;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023035569"" target=""_blank"">Informe SIDAT</a>";;397096;4565887
244;2023026149;Accidents tancats;002220/23/ARTMETROPO;Accident lleu;d’agost 9, 2023;19.35;Barcelona;Carretera;BV-2111;10.9;10927;OLIVELLA;0;;99;10;888;397757;4571996;;;BV-2111;10+888;Feiners;dill-dij;0;0;0;1;2;2;Col.lisió de vehicles en marxa;Carretera convencional;3;2023;3;Carretera;Per Coordenades;Encalç;1;8;17;Garraf;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0397757.76,4571996.88;397757;4571996;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023026149"" target=""_blank"">Informe SIDAT</a>";;397757;4571996
245;2023035514;Accidents tancats;002652/23/ARTMETROPO;Accident lleu;de setembre 25, 2023;15.38;Barcelona;Carretera;C-243B;10.6;10603;GELIDA;0;;99;10;586;404539;4587172;;;C-243b;10+586;Feiners;dill-dij;0;0;0;1;0;1;Sortida de la calcada sense especificar;Carretera convencional;1;2023;1;Carretera;Per Coordenades;Resta sortides de via;1;8;3;Alt Penedes;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0404539.89,4587172.86;404539;4587172;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023035514"" target=""_blank"">Informe SIDAT</a>";;404539;4587172
246;2023004348;Accidents tancats;000262/23/ARTMETROPO;Accident lleu;de gener 27, 2023;18.22;Barcelona;Carretera;C-243B;3.5;3592;CASTELLVI DE ROSANES;0;;99;3;495;408513;4589783;;;C-243b;3+495;CapDeSetmana;div;0;0;0;1;0;1;Bolcada a la calcada;Carretera convencional;1;2023;5;Carretera;Per Coordenades;Caiguda en la via;1;8;11;Baix Llobregat;Sec i net;De nit, il·luminació artificial insuficient;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0408513.91,4589783.83;408513;4589783;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023004348"" target=""_blank"">Informe SIDAT</a>";;408513;4589783
247;2023028061;Accidents tancats;002295/23/ARTMETROPO;Accident lleu;d’agost 18, 2023;11.06;Barcelona;Carretera;BV-1201;3.2;3197;ABRERA;0;;99;3;178;409776;4597262;;;BV-1201;3+178;Feiners;div;0;0;0;1;3;2;Bolcada a la calcada;Carretera convencional;4;2023;5;Carretera;Per Coordenades;Caiguda en la via;1;8;11;Baix Llobregat;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0409776.97,4597262.83;409776;4597262;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023028061"" target=""_blank"">Informe SIDAT</a>";;409776;4597262
248;2023041916;Accidents tancats;004260/23/ARTMNORD;Accident lleu;de desembre 15, 2023;12.58;Barcelona;Carretera;BV-1411;2.5;2493;MONTCADA I REIXAC;0;;99;2;492;431084;4593854;;;BV-1411;2+492;Feiners;div;0;0;0;2;3;3;Col.lisió de vehicles en marxa;Carretera convencional;5;2023;5;Carretera;Per Coordenades;Encalç;2;8;40;Valles Occidental;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0431084.98,4593854.67;431084;4593854;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023041916"" target=""_blank"">Informe SIDAT</a>";;431084;4593854
249;2023029933;Accidents tancats;002496/23/ARTMETROPO;Accident lleu;de setembre 8, 2023;2.49;Barcelona;Carretera;BV-2153;6.5;5977;TORRELAVIT;0;;99;6;499;393442;4588585;;;BV-2153;6+499;Feiners;div;0;0;0;2;0;1;Sortida de la calcada sense especificar;Carretera convencional;2;2023;5;Carretera;Per Coordenades;Resta sortides de via;2;8;3;Alt Penedes;Sec i net;De nit, sense llum artificial;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0393442.88,4588585.94;393442;4588585;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023029933"" target=""_blank"">Informe SIDAT</a>";;393442;4588585
250;2023004039;Accidents tancats;000315/23/ARTMNORD;Accident lleu;de gener 24, 2023;21.21;Barcelona;Carretera;BV-5101;4;4016;DOSRIUS;0;;99;3;1019;451152;4605311;;;BV-5101;3+1019;Feiners;dill-dij;0;0;0;1;1;2;Col.lisió de vehicles en marxa;Carretera convencional;2;2023;2;Carretera;Per Coordenades;Col·lisió frontal;1;8;21;Maresme;Sec i net;De nit, sense llum artificial;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0451152.10,4605311.53;451152;4605311;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023004039"" target=""_blank"">Informe SIDAT</a>";;451152;4605311
251;2023035200;Accidents tancats;003490/23/ARTMNORD;Accident lleu;d’octubre 21, 2023;11.51;Barcelona;Carretera;BV-1249;1.9;1909;CASTELLAR DEL VALLES;0;;99;1;918;422627;4608122;;;BV-1249;1+918;CapDeSetmana;dis;0;0;0;1;0;1;Sortida de la calcada sense especificar;Carretera convencional;1;2023;6;Carretera;Per Coordenades;Resta sortides de via;1;8;40;Valles Occidental;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0422627.07,4608122.75;422627;4608122;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023035200"" target=""_blank"">Informe SIDAT</a>";;422627;4608122
252;2023014585;Accidents tancats;001031/23/ARTMETROPO;Accident lleu;d’abril 12, 2023;12.47;Barcelona;Carretera;BV-2112;2;2010;SANT PERE DE RIBES;0;;99;1;1009;394545;4566377;;;BV-2112;1+1009;Feiners;dill-dij;0;0;0;1;0;1;Bolcada a la calcada;Carretera convencional;1;2023;3;Carretera;Per Coordenades;Caiguda en la via;1;8;17;Garraf;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0394545.71,4566377.90;394545;4566377;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023014585"" target=""_blank"">Informe SIDAT</a>";;394545;4566377
253;2023020935;Accidents tancats;001929/23/ARTMNORD;Accident lleu;de juny 8, 2023;9.16;Barcelona;Carretera;BV-1439;3;2979;AMETLLA DEL VALLES,;0;;99;2;977;439558;4609993;;;BV-1439;2+977;Feiners;dill-dij;0;0;0;1;0;1;Bolcada a la calcada;Carretera convencional;1;2023;4;Carretera;Per Coordenades;Caiguda en la via;1;8;41;Valles Oriental;Sec i net;De dia, dia fosc;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0439558.11,4609993.63;439558;4609993;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023020935"" target=""_blank"">Informe SIDAT</a>";;439558;4609993
254;2023030025;Accidents tancats;002473/23/ARTCENTRAL;Accident lleu;de setembre 9, 2023;12.05;Barcelona;Carretera;BV-5306;0.5;507;TARADELL;0;;99;0;506;440340;4636021;;;BV-5306;0+506;CapDeSetmana;dis;0;0;0;1;0;1;Bolcada a la calcada;Carretera convencional;1;2023;6;Carretera;Per Coordenades;Caiguda en la via;1;8;24;Osona;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0440340.31,4636021.66;440340;4636021;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023030025"" target=""_blank"">Informe SIDAT</a>";;440340;4636021
255;2023042731;Accidents tancats;003700/23/ARTCENTRAL;Accident lleu;de desembre 27, 2023;12.3;Barcelona;Carretera;C-16;84.5;84450;CASSERRES;0;;99;84;496;407687;4649690;;;C-16z;84+496;Feiners;dill-dij;0;0;0;12;31;12;Col.lisió de vehicles en marxa;Carretera convencional;43;2023;3;Carretera;Per Coordenades;Encalç;12;8;14;Bergueda;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0407687.36,4649690.93;407687;4649690;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023042731"" target=""_blank"">Informe SIDAT</a>";;407687;4649690
256;2023028533;Accidents tancats;002009/23/ARTMETROPO;Accident lleu;de juliol 17, 2023;20.48;Barcelona;Carretera;BV-1468;8.9;8790;BARCELONA;0;;99;8;879;423170;4584914;;;BV-1468;8+879;Feiners;dill-dij;0;0;0;2;0;1;Bolcada a la calcada;Carretera convencional;2;2023;1;Carretera;Per Coordenades;Caiguda en la via;2;8;13;Barcelones;Sec i net;Alba o capvespre;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0423170.90,4584914.71;423170;4584914;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023028533"" target=""_blank"">Informe SIDAT</a>";;423170;4584914
257;2023038039;Accidents tancats;003262/23/ARTCENTRAL;Accident lleu;de novembre 18, 2023;20.3;Barcelona;Carretera;C-1413B;18.6;18562;CENTELLES;0;;99;18;644;435569;4628622;;;C-1413b;18+644;CapDeSetmana;dis;0;0;0;3;2;2;Col.lisió de vehicles en marxa;Carretera convencional;5;2023;6;Carretera;Per Coordenades;Col·lisió frontal;3;8;24;Osona;Sec i net;De nit, sense llum artificial;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0435569.25,4628622.69;435569;4628622;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023038039"" target=""_blank"">Informe SIDAT</a>";;435569;4628622
258;2023015143;Accidents tancats;001341/23/ARTMNORD;Accident lleu;d’abril 22, 2023;15.15;Barcelona;Carretera;BV-5031;10.1;10166;SANT VICENC DE MONTA;0;;99;10;96;459223;4604115;;;BV-5031;10+96;CapDeSetmana;dis;0;0;0;1;1;1;Sortida de la calcada sense especificar;Carretera convencional;2;2023;6;Carretera;Per Coordenades;Resta sortides de via;1;8;21;Maresme;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0459223.10,4604115.47;459223;4604115;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023015143"" target=""_blank"">Informe SIDAT</a>";;459223;4604115
259;2023004969;Accidents tancats;000301/23/ARTMETROPO;Accident lleu;de febrer 1, 2023;9.45;Barcelona;Carretera;BV-2002;2.8;2637;SANT VICENC DELS HORTS;0;;99;2;811;417801;4581744;;;BV-2002;2+811;Feiners;dill-dij;0;0;0;1;1;2;Bolcada a la calcada;Carretera convencional;2;2023;3;Carretera;Per Coordenades;Caiguda en la via;1;8;11;Baix Llobregat;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0417801.86,4581744.75;417801;4581744;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023004969"" target=""_blank"">Informe SIDAT</a>";;417801;4581744
260;2023009039;Accidents tancats;000803/23/ARTMNORD;Accident lleu;de març 11, 2023;9.4;Barcelona;Carretera;BV-5122;3.6;3569;TORDERA;0;;99;3;560;473629;4618281;;;BV-5122;3+560;CapDeSetmana;dis;0;0;0;1;2;2;Col.lisió de vehicles en marxa;Carretera convencional;3;2023;6;Carretera;Per Coordenades;Envestida (frontal lateral);1;8;21;Maresme;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0473629.23,4618281.38;473629;4618281;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023009039"" target=""_blank"">Informe SIDAT</a>";;473629;4618281
261;2023017776;Accidents tancats;001330/23/ARTCENTRAL;Accident lleu;de maig 16, 2023;15.51;Barcelona;Carretera;C-1413B;4.9;4869;SANT QUIRZE SAFAJA;0;;99;4;895;431325;4619611;;;C-1413b;4+895;Feiners;dill-dij;0;0;0;1;0;1;Bolcada a la calcada;Carretera convencional;1;2023;2;Carretera;Per Coordenades;Caiguda en la via;1;8;42;Moianes;Sec i net;De dia, dia clar;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0431325.17,4619611.70;431325;4619611;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023017776"" target=""_blank"">Informe SIDAT</a>";;431325;4619611
262;2023025490;Accidents tancats;002561/23/ARTMNORD;Accident lleu;de juliol 31, 2023;5.49;Barcelona;Carretera;BV-5159;3.4;3420;VILANOVA DEL VALLES;0;;99;3;405;441849;4602268;;;BV-5159;3+405;Feiners;dill-dij;0;0;0;1;0;1;Col.lisió d'un vehicle contra un obstacle de la calcada;Carretera convencional;1;2023;1;Carretera;Per Coordenades;Xoc amb animal a la calçada;1;8;41;Valles Oriental;Sec i net;De nit, sense llum artificial;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0441849.06,4602268.60;441849;4602268;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023025490"" target=""_blank"">Informe SIDAT</a>";;441849;4602268
263;2023022678;Accidents tancats;001770/23/ARTCENTRAL;Accident lleu;de juny 27, 2023;3.16;Barcelona;Carretera;CR7;0;896;GAIA;0;;99;0;886;407821;4640045;;;BV-4402;0+886;Feiners;dill-dij;0;0;0;1;1;2;Bolcada a la calcada;Altres;2;2023;2;Carretera;Per Coordenades;Caiguda en la via;1;8;7;Bages;Sec i net;De nit, sense llum artificial;No n'hi ha;NA;NA;NA;No;Calma, vent molt suau;No;No;No;No;No;Bon temps;No;No;No;No;No;NA;NA;NA;NA;0407821.01,4640045.01;407821;4640045;No;"<a href=""http://sidat.gencat.cat/informe_accident.html?id=2023022678"" target=""_blank"">Informe SIDAT</a>";;407821;4640045
